Id, Title, Depth, CovidRelated
vjTp-S_SWSM,Prof. Mohamed El-Erian & Dean Geoffrey Garrett: Wharton School Tarnopol Dean's Lecture,4,0
WlljB18VgIk,U.S. Economy Added 2.5M Jobs In May | Morning Joe | MSNBC,4,1
gb2DdqL8ATc,Can Coronavirus kill Lebanon's Revolution? | Foreign Correspondent,4,1
7mFPcJk2lEM,What coronavirus looks like in EVERY country on earth - From Afghanistan to Zimbabwe,4,1
rpzobT-SsqU,Washington protests: Police in force before Trump's address | 9 News Australia,4,0
q2L-8-rUM7s,Escalating Protests Nationwide Over Death Of George Floyd | NBC Nightly News,4,0
h_CTpoGiaaI,7NEWS Update Saturday June 6: Thousands attend Black Lives Matter marches new Trump gaffe | 7NEWS,4,0
3C4qbIOhLgw,Caught on bodycam: FBI agent chasing Florida corruption complaint ends up locked in patrol car,4,0
qWIph_xlTbY,Black Customer Racially Profiled In High End Store | What Would You Do? | WWYD,4,0
cag-MNiIPd8,Truck Driver Turns the Tables on Illinois State Trooper,4,0
5I3SWcwD3EY,Minneapolis Officers Fired After Death Of Man Who Pled For Air | NBC Nightly News,4,0
mxbary6TtmQ,Powerful displays of support between officers and community | WNT,4,0
YlQDOUCW9WA,TOP MAGICIANS SHOCK JUDGES! Britain's Got Talent: The Champions 2019 | Magicians Got Talent,4,0
rStsx8SGsPc,TOP 10 Funniest Comedians That Made SIMON COWELL Laugh on AGT & BGT | Got Talent Global,4,0
r51YroAFPds,DIY Face Mask | NO SEW | Upcycled Tshirt | 5 Minutes,4,1
v93rcPkFkZc,Everything you need to know about face masks | COVID-19 Special,4,1
r5Ps1TZXAN8,How this border transformed a subcontinent  |  India & Pakistan,4,0
luTPMHC7zHY,Why China is building islands in the South China Sea,4,0
GiBF6v5UAAE,China's Geography Problem,4,0
yf8uYzgMsEw,Vitamin D3 (Cholecalciferol) and Vitamin D2 (Ergocalciferol) and Calcitriol,4,0
UAHhhweamIU,Coronavirus (COVID-19) - Should you take Vitamin D and Vitamin C?,4,1
ThG_02miq-4,Coronavirus Test: Real time RT-PCR - Animation video,4,1
syXd7kgLSN8,COVID-19 Diagnostics: Performing a Nasopharyngeal and Oropharyngeal Swab,4,1
VQOOxOl9l80,Exposing Jeffrey Epstein's international sex trafficking ring | 60 Minutes Australia,5,0
U4kCN7TZ6us,Meet the scammers breaking hearts and stealing billions online | Four Corners,5,0
